DAUID	X(meters)	Y(meters)
35180017	654337	4889696
35180018	651051	4887507
35180019	650734	4886048
35180021	650642	4885482
35180022	650232	4885402
35180024	649175	4885649
35180025	649349	4885242
35180026	649253	4884557
35180027	648664	4885488
35180028	648889	4887043
35180035	650344	4883079
35180038	651908	4885697
35180039	657004	4878785
35180040	658880	4884674
35180041	662522	4883661
35180042	662219	4885097
35180043	663824	4885094
35180044	664199	4885239
35180045	664120	4884736
35180046	664347	4884607
35180047	664742	4884916
35180048	664629	4885258
35180049	665402	4884380
35180050	664744	4885887
35180051	663964	4885906
35180052	663854	4886191
35180053	662049	4886525
35180054	664772	4890269
35180055	662115	4889994
35180056	659592	4893498
35180057	657027	4890158
35180058	662616	4895826
35180059	666968	4888151
35180060	668950	4890932
35180061	670190	4892360
35180063	669287	4894875
35180064	674523	4893180
35180065	675042	4892294
35180066	678062	4893408
35180067	675861	4888657
35180068	674350	4886820
35180069	673153	4885573
35180070	676359	4883582
35180071	669507	4883620
35180075	662748	4874246
35180076	662448	4870770
35180077	663604	4869739
35180078	664196	4870010
35180080	665079	4867044
35180081	665177	4870203
35180083	668372	4867000
35180086	670463	4867012
35180087	670380	4866834
35180091	670902	4866315
35180094	670861	4866952
35180097	671530	4866739
35180098	671431	4866194
35180099	671724	4866157
35180101	672001	4865898
35180102	672097	4865386
35180103	672112	4865191
35180104	672352	4865276
35180107	672007	4864651
35180108	671778	4865174
35180109	671372	4865016
35180112	671164	4864252
35180113	671515	4863996
35180114	671822	4864070
35180115	672067	4864107
35180116	672388	4864033
35180117	672566	4864278
35180118	672734	4863789
35180121	673305	4864780
35180122	673049	4864964
35180123	673225	4865194
35180124	672941	4865262
35180125	672997	4865653
35180126	672851	4865815
35180127	672683	4865922
35180128	672466	4865882
35180129	672514	4865520
35180130	672738	4864915
35180131	672317	4866257
35180132	672798	4866268
35180133	672384	4866862
35180134	673771	4866803
35180135	673367	4866307
35180136	673545	4866285
35180137	673340	4865684
35180140	673584	4865034
35180141	673581	4865229
35180142	674387	4864191
35180143	674207	4864444
35180144	674252	4863802
35180145	674585	4863474
35180146	674464	4863178
35180147	674126	4863136
35180148	673927	4862873
35180149	673552	4862940
35180150	673340	4862884
35180151	673223	4863169
35180152	672972	4862875
35180153	672639	4862980
35180154	672661	4862663
35180155	672439	4862473
35180156	672120	4862362
35180157	672477	4862070
35180158	672395	4861811
35180159	672615	4861530
35180160	672410	4861261
35180161	672647	4860882
35180162	672703	4860364
35180166	671960	4859815
35180167	671778	4860254
35180169	671803	4860963
35180170	671333	4860919
35180171	671515	4861195
35180172	670864	4861055
35180173	670736	4860820
35180174	671000	4860658
35180175	670087	4860682
35180177	670861	4861663
35180179	671009	4861843
35180180	671327	4861622
35180181	671169	4862227
35180182	671683	4862052
35180183	671749	4862284
35180184	671594	4862588
35180185	671943	4862836
35180186	671634	4862911
35180187	672079	4863187
35180188	671811	4863270
35180189	671751	4863446
35180190	671486	4863238
35180191	671683	4863704
35180192	671189	4863499
35180193	671115	4863092
35180194	671295	4862932
35180195	670818	4862881
35180196	670726	4862743
35180197	670529	4862640
35180198	670337	4862790
35180199	670399	4862429
35180200	670039	4862668
35180201	669891	4863073
35180202	670101	4863273
35180203	670374	4863312
35180204	670215	4863857
35180205	669788	4863551
35180206	669616	4863943
35180207	669276	4863739
35180208	669203	4863428
35180209	669373	4863220
35180210	669000	4863254
35180211	669538	4862991
35180212	669581	4862605
35180213	669469	4862339
35180214	668926	4862398
35180215	668898	4862111
35180216	669083	4861547
35180217	669499	4861631
35180218	669183	4861435
35180219	669477	4860589
35180220	668721	4860138
35180221	668652	4861032
35180222	668267	4860729
35180223	668288	4861060
35180224	668147	4861363
35180225	668878	4861133
35180226	668355	4862623
35180227	668166	4862135
35180228	667872	4862749
35180229	667495	4862629
35180230	667429	4863184
35180231	667231	4863099
35180232	667031	4862826
35180233	666814	4863125
35180234	666815	4862571
35180235	666438	4862827
35180236	666009	4862551
35180237	666328	4862400
35180238	666468	4861989
35180239	666776	4861884
35180240	666881	4862155
35180241	667332	4861975
35180242	667607	4861984
35180243	667837	4861937
35180244	667239	4861641
35180245	666977	4861424
35180248	667138	4859815
35180249	666649	4860290
35180250	666382	4860399
35180251	666613	4860617
35180252	665967	4860498
35180253	666036	4860034
35180254	665613	4860096
35180255	665262	4860253
35180256	665527	4860534
35180257	665477	4861002
35180258	665794	4860864
35180259	665624	4861264
35180260	665279	4861148
35180261	664948	4860965
35180262	665062	4860674
35180263	664720	4860544
35180264	664736	4860202
35180265	664959	4859981
35180266	664578	4859788
35180272	664607	4859481
35180273	665251	4859708
35180274	665115	4859308
35180275	665525	4859365
35180276	666102	4859367
35180277	666323	4859626
35180284	663324	4860517
35180285	663803	4860760
35180286	664252	4860642
35180287	664515	4860961
35180290	664635	4862135
35180291	664119	4862169
35180292	663992	4862604
35180293	664374	4862768
35180294	664662	4863074
35180295	665080	4863176
35180296	665508	4863299
35180297	665629	4863608
35180298	665891	4863517
35180299	666190	4863742
35180300	666291	4864244
35180301	666829	4864169
35180302	667148	4864424
35180303	667352	4864080
35180304	667057	4863661
35180305	667061	4863663
35180306	667449	4863658
35180307	667832	4863228
35180309	668298	4863986
35180310	668091	4864452
35180311	668108	4864784
35180312	668752	4865225
35180313	668710	4864087
35180314	669541	4864355
35180315	669713	4864621
35180316	670100	4864932
35180317	670676	4864870
35180318	670926	4865074
35180319	670486	4865382
35180320	670695	4865666
35180321	671040	4865777
35180322	671311	4865585
35180324	670196	4865449
35180325	670252	4865960
35180326	669691	4865929
35180327	669733	4866250
35180328	670125	4866337
35180329	670017	4866680
35180330	670838	4864396
35180331	670746	4863900
35180332	667320	4865105
35180333	667541	4864657
35180334	666810	4865094
35180335	666652	4864732
35180336	668470	4863331
35180337	668614	4863212
35180338	668754	4863550
35180339	668810	4862760
35180340	665430	4864491
35180342	664950	4864595
35180343	664685	4864494
35180344	664346	4864247
35180345	664607	4863810
35180346	664934	4863918
35180347	664041	4863310
35180348	663698	4863818
35180350	663483	4861723
35180351	663592	4861409
35180352	662985	4861511
35180354	662995	4861011
35180356	660839	4858570
35180357	659684	4858527
35180358	659180	4858246
35180359	658911	4858136
35180360	658814	4857705
35180361	659346	4857776
35180362	659294	4857870
35180363	658506	4857411
35180364	658332	4857581
35180365	658330	4857844
35180366	658307	4858081
35180367	658481	4858138
35180368	658219	4858367
35180369	657987	4858565
35180370	658293	4858589
35180371	658083	4858936
35180372	658299	4859009
35180373	658081	4859549
35180374	657865	4859363
35180375	657647	4859332
35180380	656653	4858792
35180381	656412	4858820
35180382	656246	4859279
35180383	655941	4859034
35180385	656128	4858560
35180386	655781	4858240
35180388	656463	4858341
35180389	656707	4858267
35180391	656975	4858293
35180392	657175	4858072
35180393	657266	4858323
35180394	657689	4858500
35180397	657430	4857779
35180398	657729	4857787
35180399	657870	4857515
35180400	657765	4857330
35180401	657702	4857225
35180402	657390	4857206
35180403	657069	4857429
35180404	656933	4856999
35180405	656614	4857357
35180406	656056	4856870
35180407	656038	4857528
35180408	655585	4857860
35180409	655245	4857938
35180410	654672	4857909
35180411	654136	4858061
35180412	653790	4858340
35180413	653738	4858094
35180414	653566	4858327
35180415	653816	4858529
35180416	653483	4857871
35180417	653523	4857897
35180418	653942	4857851
35180419	653940	4857545
35180420	653419	4859411
35180421	654384	4857356
35180422	654282	4857690
35180423	653455	4856961
35180424	653777	4856552
35180425	653522	4856441
35180426	653272	4856654
35180427	653357	4856214
35180428	653093	4856060
35180429	652839	4856162
35180430	652592	4856075
35180431	652253	4855811
35180432	652846	4855708
35180433	652603	4855298
35180434	652454	4855161
35180435	652258	4855038
35180436	652519	4854738
35180437	652371	4854562
35180438	652839	4855073
35180439	652947	4855297
35180440	653260	4854989
35180441	653455	4855585
35180442	653933	4855327
35180445	653771	4856073
35180446	653822	4856426
35180447	654349	4856638
35180448	654754	4856475
35180449	654525	4855989
35180450	655123	4856016
35180451	655174	4856616
