%STUDENT - TEACHER RATIO
0.05

%nSchoolBoards in use
16

%SCHOOLID	LEVEL	NAME	SCHOOLBOARD	BOARDID	ENROLMENT
1000	1	ƒcole__l_mentaire_Renaissance	CS_Viamonde	1	139
1001	1	ƒcole__l_mentaire_Patricia-Picknell	CS_Viamonde	1	222
1002	1	ƒcole__l_mentaire_Horizon_Jeunesse	CS_Viamonde	1	277
1003	1	ƒcole__l_mentaire_Pierre-Elliott-Trudeau	CS_Viamonde	1	338
1004	1	ƒcole__l_mentaire_Gabrielle-Roy	CS_Viamonde	1	177
1005	1	ƒcole__l_mentaire_La_Mosa•que	CS_Viamonde	1	218
1006	1	ƒcole__l_mentaire_F_lix-Leclerc	CS_Viamonde	1	201
1007	1	ƒcole__l_mentaire_Carrefour_des_Jeunes	CS_Viamonde	1	263
1008	1	ƒcole__l_mentaire_Maison_Montessori	CS_Viamonde	1	158
1009	1	ƒcole__l_mentaire_Jeanne-Lajoie	CS_Viamonde	1	297
1010	1	ƒcole__l_mentaire_Laure-Rièse	CS_Viamonde	1	253
1011	2	ƒcole__l_mentaire_Oakville_Est	CS_Viamonde	1	327
1012	2	ƒcole__l_mentaire_La_Fontaine	CS_Viamonde	1	131
1013	2	ƒcole__l_mentaire_Antonine_Maillet	CS_Viamonde	1	165
1014	2	Acad_mie_de_la_Moraine	CS_Viamonde	1	219
1015	3	ƒcole__l_mentaire_ƒtienne-Br_l_	CS_Viamonde	1	183
1016	4	ƒcole__l_mentaire_Jeunes_sans_frontières	CS_Viamonde	1	291
1017	4	Collège_français__l_mentaire	CS_Viamonde	1	908
1018	5	Collège_français_secondaire	CS_Viamonde	1	254
1019	5	ƒcole_secondaire_ƒtienne-Br_l_	CS_Viamonde	1	391
1020	1	ƒƒC_Saint-Nicolas	CSDC_Centre-Sud	2	105
1021	1	ƒƒC_Ange-Gabriel	CSDC_Centre-Sud	2	306
1022	1	ƒƒC_du_Sacr_-Coeur-Toronto	CSDC_Centre-Sud	2	131
1023	1	ƒƒC_Georges-ƒtienne-Cartier	CSDC_Centre-Sud	2	313
1024	1	ƒƒC_Saint-No‘l-Chabanel-Toronto	CSDC_Centre-Sud	2	152
1025	1	ƒƒC_Sainte-Madeleine	CSDC_Centre-Sud	2	232
1026	1	ƒƒC_Notre-Dame-de-la-Jeunesse-Ajax	CSDC_Centre-Sud	2	266
1027	1	ƒƒC_Jean-Paul_II	CSDC_Centre-Sud	2	218
1028	1	ƒƒC_Corpus-Christi	CSDC_Centre-Sud	2	230
1029	1	ƒƒC_Saint-Jean	CSDC_Centre-Sud	2	350
1030	2	ƒƒC_Saint-Philippe	CSDC_Centre-Sud	2	275
1031	2	ƒƒC_Sainte-Marie-Oakville	CSDC_Centre-Sud	2	280
1032	2	ƒƒC_Saint-Jean-Baptiste	CSDC_Centre-Sud	2	216
1033	2	ƒƒC_Ren_-Lamoureux	CSDC_Centre-Sud	2	191
1034	2	ƒƒC_du_Sacr_-Coeur-Georgetown	CSDC_Centre-Sud	2	235
1035	2	ƒƒC_Sainte-Marguerite-d'Youville	CSDC_Centre-Sud	2	389
1036	2	ƒƒC_Sainte-Jeanne-d'Arc	CSDC_Centre-Sud	2	465
1037	2	ƒƒC_Saint-Jean-de-Lalande	CSDC_Centre-Sud	2	134
1038	2	ƒƒC_Le-Petit-Prince	CSDC_Centre-Sud	2	238
1039	2	ƒƒC_Sainte-Marguerite-Bourgeoys-Markham	CSDC_Centre-Sud	2	294
1040	3	ƒIC_Renaissance	CSDC_Centre-Sud	2	204
1041	4	ƒIC_Sainte-Famille	CSDC_Centre-Sud	2	871
1042	4	ƒIC_Monseigneur-de-Charbonnel	CSDC_Centre-Sud	2	418
1043	4	ƒIC_Saint-Charles-Garnier	CSDC_Centre-Sud	2	537
1044	5	ƒSC_Renaissance	CSDC_Centre-Sud	2	262
1045	2	St_Helen_Separate_School	Dufferin-Peel_CDSB	3	254
1046	2	St_Louis_School	Dufferin-Peel_CDSB	3	299
1047	2	St_Christopher_School	Dufferin-Peel_CDSB	3	465
1048	2	Christ_The_King_Catholic_School	Dufferin-Peel_CDSB	3	347
1049	2	St_Francis_of_Assisi_School	Dufferin-Peel_CDSB	3	527
1050	2	All_Saints_Catholic_School	Dufferin-Peel_CDSB	3	461
1051	2	St_Margaret_of_Scotland_School	Dufferin-Peel_CDSB	3	397
1052	2	St_Sebastian_Catholic_Elementary_School	Dufferin-Peel_CDSB	3	648
1053	2	St_Clare_School	Dufferin-Peel_CDSB	3	342
1054	2	St_Luke_Catholic_Elementary_School	Dufferin-Peel_CDSB	3	545
1055	2	St._Bernard_of_Clairvaux_Catholic_Elementary_School	Dufferin-Peel_CDSB	3	440
1056	2	St_Mark_Separate_School	Dufferin-Peel_CDSB	3	407
1057	2	St_Faustina_Elementary_School	Dufferin-Peel_CDSB	3	810
1058	2	St_Gerard_Separate_School	Dufferin-Peel_CDSB	3	321
1059	2	Divine_Mercy_School	Dufferin-Peel_CDSB	3	620
1060	2	St_Rose_of_Lima_Separate_School	Dufferin-Peel_CDSB	3	257
1061	2	St_Jerome_Separate_School	Dufferin-Peel_CDSB	3	331
1062	2	Blessed_John_XXIII_Catholic_Elementary_School	Dufferin-Peel_CDSB	3	236
1063	2	St_Simon_Stock_Elementary_School	Dufferin-Peel_CDSB	3	564
1064	2	St_Edith_Stein_Elementary_School	Dufferin-Peel_CDSB	3	472
1065	2	Mary_Fix_Catholic_School	Dufferin-Peel_CDSB	3	351
1066	2	Our_Lady_of_Mercy_Elementary_School	Dufferin-Peel_CDSB	3	492
1067	2	St_Dominic_Separate_School	Dufferin-Peel_CDSB	3	230
1068	2	Father_Daniel_Zanon_Elementary_School	Dufferin-Peel_CDSB	3	517
1069	2	St_Catherine_of_Siena_School	Dufferin-Peel_CDSB	3	577
1070	2	St_David_of_Wales_Separate_School	Dufferin-Peel_CDSB	3	320
1071	2	St_Elizabeth_Seton_School	Dufferin-Peel_CDSB	3	340
1072	2	Queen_of_Heaven_School	Dufferin-Peel_CDSB	3	421
1073	2	St_Dunstan_Elementary_School	Dufferin-Peel_CDSB	3	417
1074	2	St_Philip_Elementary_School	Dufferin-Peel_CDSB	3	358
1075	2	St_John_of_the_Cross_School	Dufferin-Peel_CDSB	3	307
1076	2	St_Therese_of_the_Child_Jesus_(Elementary)_Separate_School	Dufferin-Peel_CDSB	3	667
1077	2	St_Timothy_School	Dufferin-Peel_CDSB	3	511
1078	2	St_Albert_of_Jerusalem_Elementary_School	Dufferin-Peel_CDSB	3	910
1079	2	St_Joseph_Separate_School	Dufferin-Peel_CDSB	3	366
1080	2	St_Bernadette_Elementary_School	Dufferin-Peel_CDSB	3	429
1081	2	Corpus_Christi_School	Dufferin-Peel_CDSB	3	241
1082	2	Bishop_Scalabrini_School	Dufferin-Peel_CDSB	3	540
1083	2	St_Herbert_School	Dufferin-Peel_CDSB	3	505
1084	2	St_Teresa_of_Avila_Separate_School	Dufferin-Peel_CDSB	3	478
1085	2	Our_Lady_of_Good_Voyage_Catholic_School	Dufferin-Peel_CDSB	3	279
1086	2	Metropolitan_Andrei_Catholic_School	Dufferin-Peel_CDSB	3	545
1087	2	St_Richard_School	Dufferin-Peel_CDSB	3	396
1088	2	St_Raymond_Elementary_School	Dufferin-Peel_CDSB	3	658
1089	2	St_Edmund_Separate_School	Dufferin-Peel_CDSB	3	363
1090	2	Canadian_Martyrs_School	Dufferin-Peel_CDSB	3	528
