DAUID  PROBABILITY  CUMULATIVE PROBABILITY (2006)
35160164    7.66827e-05         7.66827e-05
35160167    0.000137562         0.000214245
35160175    0.000117269         0.000331513
35160177    0.000116551         0.000448064
35180017    0.000148337         0.000596401
35180018    0.000230228         0.000826629
35180019    0.000130199         0.000956828
35180021    9.08699e-05         0.0010477
35180022    8.6919e-05         0.00113462
35180024    0.000101645         0.00123626
35180025    9.4282e-05         0.00133054
35180026    0.000150851         0.00148139
35180027    0.000126248         0.00160764
35180028    0.000175993         0.00178364
35180035    0.000206882         0.00199052
35180038    0.000144745         0.00213526
35180039    0.000107212         0.00224247
35180040    0.000106135         0.00234861
35180041    0.000113498         0.00246211
35180042    0.000122118         0.00258422
35180043    0.000100388         0.00268461
35180044    7.39889e-05         0.0027586
35180045    5.17204e-05         0.00281032
35180046    7.61439e-05         0.00288647
35180047    8.97924e-05         0.00297626
35180048    6.39322e-05         0.00304019
35180049    7.05768e-05         0.00311077
35180050    9.82329e-05         0.003209
35180051    7.21931e-05         0.00328119
35180052    0.000101286         0.00338248
35180053    6.59076e-05         0.00344839
35180054    0.000189282         0.00363767
35180055    4.70512e-05         0.00368472
35180056    8.11723e-05         0.00376589
35180057    8.74578e-05         0.00385335
35180058    0.000112779         0.00396613
35180059    9.23066e-05         0.00405844
35180060    8.15315e-05         0.00413997
35180061    9.46412e-05         0.00423461
35180063    0.000152108         0.00438672
35180064    0.000163781         0.0045505
35180065    0.000155341         0.00470584
35180066    7.63235e-05         0.00478216
35180067    9.17678e-05         0.00487393
35180068    8.62007e-05         0.00496013
35180069    7.47073e-05         0.00503484
35180070    8.70986e-05         0.00512194
35180071    0.000111163         0.0052331
35180075    0.000150133         0.00538323
35180076    0.000543962         0.0059272
35180077    0.000127146         0.00605434
35180078    0.000484161         0.0065385
35180080    0.000935457         0.00747396
35180081    0.000818547         0.00829251
35180083    0.000372998         0.0086655
35180086    4.47166e-05         0.00871022
35180087    0.000154622         0.00886484
35180091    0.000326844         0.00919169
35180094    5.13612e-05         0.00924305
35180097    0.00018605         0.0094291
35180098    0.000128044         0.00955714
35180099    7.00381e-05         0.00962718
35180101    0.000149235         0.00977642
35180102    0.000171683         0.0099481
35180103    6.44709e-05         0.0100126
35180104    6.23159e-05         0.0100749
35180107    8.74578e-05         0.0101623
35180108    6.69851e-05         0.0102293
35180109    8.0454e-05         0.0103098
35180112    0.000101825         0.0104116
35180113    8.13519e-05         0.010493
35180114    0.000117808         0.0106108
35180115    7.56052e-05         0.0106864
35180116    8.49436e-05         0.0107713
35180117    7.68623e-05         0.0108482
35180118    8.33273e-05         0.0109315
35180121    7.77602e-05         0.0110093
35180122    0.000116371         0.0111256
35180123    0.000107033         0.0112327
35180124    4.57941e-05         0.0112785
35180125    0.00015121         0.0114297
35180126    4.759e-05         0.0114773
35180127    0.000108469         0.0115857
35180128    5.10021e-05         0.0116367
35180129    0.000167373         0.0118041
35180130    8.00948e-05         0.0118842
35180131    0.000105775         0.01199
35180132    9.33841e-05         0.0120834
35180133    0.000253574         0.0123369
35180134    0.000636628         0.0129736
35180135    0.000158933         0.0131325
35180136    7.90173e-05         0.0132115
35180137    7.95561e-05         0.0132911
35180140    6.68055e-05         0.0133579
35180141    7.63235e-05         0.0134342
35180142    0.000126966         0.0135612
35180143    5.17204e-05         0.0136129
35180144    8.40457e-05         0.0136969
35180145    0.000113857         0.0138108
35180146    0.00011673         0.0139275
35180147    0.000110265         0.0140378
35180148    8.40457e-05         0.0141218
35180149    9.19474e-05         0.0142138
35180150    7.72215e-05         0.014291
35180151    7.56052e-05         0.0143666
35180152    6.86014e-05         0.0144352
35180153    8.31477e-05         0.0145184
35180154    9.41024e-05         0.0146125
35180155    0.000106494         0.0147189
35180156    8.63803e-05         0.0148053
35180157    8.81761e-05         0.0148935
35180158    7.43481e-05         0.0149679
35180159    9.15882e-05         0.0150594
35180160    7.66827e-05         0.0151361
35180161    7.75806e-05         0.0152137
35180162    0.000110983         0.0153247
35180166    9.26657e-05         0.0154174
35180167    6.12384e-05         0.0154786
35180169    5.87242e-05         0.0155373
35180170    7.75806e-05         0.0156149
35180171    8.13519e-05         0.0156962
35180172    0.000137921         0.0158342
35180173    0.000104698         0.0159389
35180174    9.01516e-05         0.016029
35180175    8.44048e-05         0.0161134
35180177    9.62574e-05         0.0162097
35180179    9.69758e-05         0.0163067
35180180    8.88945e-05         0.0163956
35180181    8.9074e-05         0.0164846
35180182    0.000121579         0.0166062
35180183    8.29682e-05         0.0166892
35180184    7.66827e-05         0.0167659
35180185    6.50097e-05         0.0168309
35180186    0.00010398         0.0169348
35180187    8.54823e-05         0.0170203
35180188    8.67394e-05         0.0171071
35180189    9.62574e-05         0.0172033
35180190    7.99152e-05         0.0172832
35180191    0.000105596         0.0173888
35180192    0.000135048         0.0175239
35180193    0.000107033         0.0176309
35180194    7.56052e-05         0.0177065
35180195    9.69758e-05         0.0178035
35180196    8.87149e-05         0.0178922
35180197    0.000160908         0.0180531
35180198    8.13519e-05         0.0181345
35180199    6.98585e-05         0.0182043
35180200    8.13519e-05         0.0182857
35180201    7.18339e-05         0.0183575
