%DAUID	      ROUTE
35180017	4
35180018	4
35180019	4
35180021	4
35180022	4
35180024	4
35180025	4
35180026	4
35180027	4
35180028	4
35180035	4
35180038	4
35180039	4
35180040	4
35180041	4
35180042	4
35180043	4
35180044	4
35180045	4
35180046	4
35180047	4
35180048	4
35180049	4
35180050	4
35180051	4
35180052	4
35180053	4
35180054	4
35180055	4
35180056	4
35180057	4
35180058	4
35180059	4
35180060	4
35180061	4
35180063	4
35180064	4
35180065	4
35180066	4
35180067	4
35180068	4
35180069	4
35180070	4
35180071	4
35180075	4
35180076	4
35180077	4
35180078	4
35180080	4
35180081	4
35180083	4
35180086	4
35180087	4
35180091	4
35180094	4
35180097	4
35180098	4
35180099	4
35180101	4
35180102	4
35180103	4
35180104	4
35180107	4
35180108	4
35180109	4
35180112	4
35180113	4
35180114	4
35180115	4
35180116	4
35180117	4
35180118	4
35180121	4
35180122	4
35180123	4
35180124	4
35180125	4
35180126	4
35180127	4
35180128	4
35180129	4
35180130	4
35180131	4
35180132	4
35180133	4
35180134	4
35180135	4
35180136	4
35180137	4
35180140	4
35180141	4
35180142	4
35180143	4
35180144	4
35180145	4
35180146	4
35180147	4
35180148	4
35180149	4
35180150	4
35180151	4
35180152	4
35180153	4
35180154	4
35180155	4
35180156	4
35180157	4
35180158	4
35180159	4
35180160	4
35180161	4
35180162	4
35180166	4
35180167	4
35180169	4
35180170	4
35180171	4
35180172	4
35180173	4
35180174	4
35180175	4
35180177	4
35180179	4
35180180	4
35180181	4
35180182	4
35180183	4
35180184	4
35180185	4
35180186	4
35180187	4
35180188	4
35180189	4
35180190	4
35180191	4
35180192	4
35180193	4
35180194	4
35180195	4
35180196	4
35180197	4
35180198	4
35180199	4
35180200	4
35180201	4
35180202	4
35180203	4
35180204	4
35180205	4
35180206	4
35180207	4
35180208	4
35180209	4
35180210	4
35180211	4
35180212	4
35180213	4
35180214	4
35180215	4
35180216	4
35180217	4
35180218	4
35180219	4
35180220	4
35180221	4
35180222	4
35180223	4
35180224	4
35180225	4
35180226	4
35180227	4
35180228	4
35180229	4
35180230	4
35180231	4
35180232	4
35180233	4
35180234	4
35180235	4
35180236	4
35180237	4
35180238	4
35180239	4
35180240	4
35180241	4
35180242	4
35180243	4
35180244	4
35180245	4
35180248	4
35180249	4
35180250	4
35180251	4
35180252	4
35180253	4
35180254	4
35180255	4
35180256	4
35180257	4
35180258	4
35180259	4
35180260	4
35180261	4
35180262	4
35180263	4
35180264	4
35180265	4
35180266	4
35180272	4
35180273	4
35180274	4
35180275	4
35180276	4
35180277	4
35180284	4
35180285	4
35180286	4
35180287	4
35180290	4
35180291	4
35180292	4
35180293	4
35180294	4
35180295	4
35180296	4
35180297	4
35180298	4
35180299	4
35180300	4
35180301	4
35180302	4
35180303	4
35180304	4
35180305	4
35180306	4
35180307	4
35180309	4
35180310	4
35180311	4
35180312	4
35180313	4
35180314	4
35180315	4
35180316	4
35180317	4
35180318	4
35180319	4
35180320	4
35180321	4
35180322	4
35180324	4
35180325	4
35180326	4
35180327	4
35180328	4
35180329	4
35180330	4
35180331	4
35180332	4
35180333	4
35180334	4
35180335	4
35180336	4
35180337	4
35180338	4
35180339	4
35180340	4
35180342	4
35180343	4
35180344	4
35180345	4
35180346	4
35180347	4
35180348	4
35180350	4
35180351	4
35180352	4
35180354	4
35180356	4
35180357	4
35180358	4
35180359	4
35180360	4
35180361	4
35180362	4
35180363	4
35180364	4
35180365	4
35180366	4
35180367	4
35180368	4
35180369	4
35180370	4
35180371	4
35180372	4
35180373	4
35180374	4
35180375	4
35180380	4
35180381	4
35180382	4
35180383	4
35180385	4
35180386	4
35180388	4
35180389	4
35180391	4
35180392	4
35180393	4
35180394	4
35180397	4
35180398	4
35180399	4
35180400	4
35180401	4
35180402	4
35180403	4
35180404	4
35180405	4
35180406	4
35180407	4
35180408	4
35180409	4
35180410	4
35180411	4
35180412	4
35180413	4
35180414	4
35180415	4
35180416	4
35180417	4
35180418	4
35180419	4
35180420	4
35180421	4
35180422	4
35180423	4
35180424	4
35180425	4
35180426	4
35180427	4
35180428	4
35180429	4
35180430	4
35180431	4
35180432	4
35180433	4
35180434	4
35180435	4
35180436	4
35180437	4
35180438	4
35180439	4
35180440	4
35180441	4
35180442	4
35180445	4
35180446	4
35180447	4
35180448	4
35180449	4
35180450	4
35180451	4
35180452	4
35180453	4
35180454	4
35180455	4
35180456	4
35180457	4
35180458	4
35180459	4
35180460	4
35180461	4
35180462	4
35180463	4
35180464	4
35180465	4
35180466	4
35180467	4
35180468	4
35180469	4
35180472	4
35180473	4
35180474	4
35180475	4
35180476	4
35180477	4
35180478	4
35180479	4
35180480	4
35180481	4
35180482	4
35180483	4
35180484	4
35180485	4
35180486	4
35180487	4
35180488	4
35180489	4
35180490	4
35180491	4
35180492	4
35180493	4
35180494	4
35180495	4
35180496	4
35180497	4
35180498	4
35180499	4
35180500	4
35180501	4
35180502	4
35180503	4
35180504	4
35180505	4
35180506	4
35180507	4
35180508	4
35180510	4
35180511	4
35180512	4
35180513	4
35180514	4
35180515	4
35180516	4
35180517	4
35180518	4
35180519	4
35180520	4
35180525	4
35180533	4
35180534	4
35180538	4
35180539	4
35180540	4
35180541	4
35180544	4
35180545	4
35180546	4
35180547	4
35180548	4
35180549	4
35180550	4
35180551	4
35180553	4
35180554	4
35180555	4
35180556	4
35180557	4
35180558	4
35180559	4
35180560	4
35180562	4
35180563	4
35180564	4
35180565	4
35180566	4
35180567	4
35180568	4
35180569	4
35180570	4
35180571	4
35180572	4
35180573	4
35180574	4
35180575	4
35180576	4
35180581	4
35180582	4
35180583	4
35180584	4
35180585	4
35180586	4
35180587	4
35180588	4
35180589	4
35180590	4
35180591	4
35180592	4
35180593	4
35180594	4
35180595	4
35180596	4
35180597	4
35180598	4
35180599	4
35180600	4
35180601	4
35180602	4
35180603	4
35180604	4
35180605	4
35180606	4
35180607	4
35180608	4
35180609	4
35180611	4
35180613	4
35180614	4
35180615	4
35180616	4
35180617	4
35180618	4
35180619	4
35180620	4
35180621	4
35180622	4
35180623	4
35180624	4
35180625	4
35180626	4
35180627	4
35180628	4
35180629	4
35180630	4
35180631	4
35180632	4
35180633	4
35180634	4
35180635	4
35180636	4
35180637	4
35180638	4
35180639	4
35180640	4
35180641	4
35180642	4
35180643	4
35180644	4
35180645	4
35180646	4
35180647	4
35180648	4
35180649	4
35180650	4
35180651	4
35180652	4
35180654	4
35180655	4
35180656	4
35180657	4
35180658	4
35180659	4
35180660	4
35180661	4
35180662	4
35180663	4
35180665	4
35180666	4
35180667	4
35180668	4
35180669	4
35180670	4
35180671	4
35180672	4
35180676	4
35180677	4
35180679	4
35180680	4
35180681	4
35180682	4
35180683	4
35180684	4
35180685	4
35180686	4
35180687	4
35180688	4
35180689	4
35180690	4
35180691	4
35180692	4
35180693	4
35180697	4
35180698	4
35180699	4
35180701	4
35180702	4
35180703	4
35180704	4
35180707	4
35180710	4
35180711	4
35180712	4
35180713	4
35180714	4
35180715	4
35180716	4
35180717	4
35180718	4
35180720	4
35180721	4
35180722	4
35180723	4
35180724	4
35180725	4
35180726	4
35180727	4
35180732	4
35180733	4
35180734	4
35180735	4
35180736	4
35180737	4
35180738	4
35180739	4
35180762	4
35180767	4
35180768	4
35180769	4
35180770	4
35180771	4
35180772	4
35180773	4
35180774	4
35180775	4
35180776	4
35180777	4
35180778	4
35180779	4
35180780	4
35180781	4
35180782	4
35180783	4
35180784	4
35180785	4
35180786	4
35180791	4
35180792	4
35180793	4
35180794	4
35180795	4
35180796	4
35180797	4
35180798	4
35180799	4
35180800	4
35180801	4
35180802	4
35180803	4
35180804	4
35180805	4
35180806	4
35180807	4
35180808	4
35180810	4
35180811	4
35180812	4
35180813	4
35180816	4
35180817	4
35180818	4
35180819	4
35180820	4
35180821	4
35180822	4
35180823	4
35180824	4
35180825	4
35180826	4
35180827	4
35180828	4
35180829	4
35180830	4
35180831	4
35180832	4
35180833	4
35180834	4
35180835	4
35180836	4
35180837	4
35180838	4
35180839	4
35180840	4
35180841	4
35180842	4
35180843	4
35180844	4
35180845	4
35180846	4
35180847	4
35180848	4
35180849	4
35180850	4
35180851	4
35180852	4
35180853	4
35180854	4
35180855	4
35180856	4
35180857	4
35180858	4
35180859	4
35180860	4
35180861	4
35180862	4
35180863	4
35180864	4
35180865	4
35180866	4
35180867	4
35180868	4
35180869	4
35180870	2
35180871	2
35180872	4
35180873	4
35180874	4
35180875	4
35180876	4
35180877	4
35180878	4
35180879	4
35180880	4
35180881	4
35180882	4
35180883	4
35180884	4
35180885	4
35180886	4
35180887	4
35180888	4
35180889	4
35180890	4
35180891	4
35180892	4
35180893	4
35180894	4
35180895	4
35180896	4
35180897	4
35180898	4
35180899	4
35180900	4
35180901	4
35180902	4
35180903	4
35180904	4
35180905	4
35180906	4
35180907	4
35180908	4
35180909	4
35180910	4
35180911	4
35180912	4
35180913	4
35180914	4
35180915	4
35180916	4
35180917	4
35180918	4
35180919	4
35180920	4
35180921	4
35180922	4
35180923	4
35180924	4
35180925	4
35180926	4
35180927	4
35180928	4
35180929	4
35180930	4
35180931	4
35180932	4
35180933	4
35180934	4
35180935	4
35180936	4
35180937	4
35180938	4
35180939	4
35180940	4
35180941	4
35180942	4
35180943	4
35180944	4
35180945	4
35180946	4
35180947	4
35180948	4
35180949	4
35180950	4
35180951	4
35180952	4
35180953	4
35180954	4
35180955	4
35180956	4
35180957	4
35180958	4
35180959	4
35180960	4
35180961	4
35180962	4
35180963	4
35180964	4
35180965	4
35180966	4
35180967	4
35180968	4
35180969	4
35180970	4
35180971	4
35180972	4
35180973	4
35180974	4
35180975	4
35180976	4
35180977	4
35180978	4
35180979	4
35180980	4
35180981	4
35180982	4
35180983	4
35180984	4
35180985	4
35180986	4
35180987	4
35180988	4
35180989	4
35180990	4
35180991	4
35180992	4
35180993	4
35180994	4
35180995	4
35180996	4
35180997	4
35180998	4
35180999	4
35181000	4
35181001	4
35181002	4
35181003	4
35181004	4
35181005	4
35181006	4
35181007	4
35181008	4
35181009	4
35181010	4
35181011	4
35181012	4
35181013	4
35181014	4
35181015	4
35181016	4
35181017	4
35181018	4
35181019	4
35181020	4
35181021	4
35181022	4
35181023	4
35181024	4
35190001	2
35190002	2
35190003	4
35190004	4
35190005	4
35190006	4
35190009	4
35190011	2
35190012	2
35190013	2
35190015	2
35190016	2
35190017	2
35190018	2
35190019	2
35190020	2
35190021	2
35190022	2
35190026	2
35190027	2
35190028	2
35190029	2
35190030	2
35190031	2
35190032	2
35190033	2
35190034	2
35190035	2
35190036	2
35190037	2
35190039	2
35190040	2
35190041	2
35190042	2
35190043	2
35190044	2
35190045	2
35190046	2
35190047	2
35190048	2
35190049	2
35190050	2
35190051	2
35190052	2
35190053	2
35190054	2
35190055	2
35190056	2
35190057	2
35190058	2
35190059	2
35190061	2
35190062	2
35190065	2
35190066	2
35190067	2
35190068	2
35190069	2
35190070	2
35190071	2
35190072	2
35190073	2
35190074	2
35190075	2
35190076	2
35190077	2
35190078	2
35190079	2
35190080	2
35190081	2
35190082	2
35190083	2
35190084	2
35190085	2
35190086	2
35190087	2
35190088	2
35190089	2
35190090	2
35190091	2
35190092	2
35190093	2
35190094	2
35190095	2
35190096	2
35190097	2
35190098	2
35190099	2
35190100	2
35190101	2
35190102	2
35190103	2
35190104	2
35190105	2
35190106	2
35190107	2
35190108	2
35190109	2
35190110	2
35190111	2
35190112	2
35190113	2
35190114	2
35190115	2
35190117	2
35190118	2
35190119	2
35190120	2
35190121	2
35190122	2
35190123	2
35190124	2
35190125	2
35190126	2
35190127	2
35190128	2
35190129	2
35190130	2
35190131	2
35190132	2
35190133	2
35190136	2
35190137	2
35190138	2
35190139	2
35190140	2
35190141	2
35190142	2
35190143	2
35190144	2
35190145	2
35190146	2
35190147	2
35190148	2
35190149	2
35190150	2
35190151	2
35190152	2
35190153	2
35190154	2
35190155	2
35190157	2
35190158	2
35190159	2
35190160	2
35190161	2
35190162	2
35190163	2
35190164	2
35190165	2
35190166	2
35190167	2
35190168	2
35190170	2
35190175	2
35190176	2
35190177	2
35190178	2
35190179	2
35190180	2
35190181	2
35190182	2
35190183	2
35190184	2
35190185	2
35190186	2
35190187	2
35190188	2
35190189	2
35190192	2
35190195	2
35190196	2
35190197	2
35190199	2
35190200	2
35190202	2
35190205	2
35190207	2
35190208	2
35190209	2
35190210	2
35190211	2
35190212	2
35190213	2
35190214	2
35190215	2
35190216	2
35190217	2
35190218	2
35190219	2
35190220	2
35190221	2
35190222	2
35190223	2
35190224	2
35190225	2
35190226	2
35190227	2
35190228	2
35190229	2
35190230	2
35190235	2
35190236	2
35190237	2
35190238	2
35190239	2
35190240	2
35190241	2
35190242	2
35190243	2
35190244	2
35190245	2
35190246	2
35190247	2
35190248	2
35190252	2
35190253	2
35190254	2
35190255	2
35190256	2
35190257	2
35190258	2
35190259	2
35190260	2
35190261	2
35190262	2
35190263	2
35190264	2
35190265	2
35190266	2
35190267	2
35190268	2
35190269	2
35190270	2
35190271	2
35190272	2
35190273	2
35190274	2
35190275	2
35190276	2
35190277	2
35190278	2
35190279	2
35190280	2
35190281	2
35190282	2
35190283	2
35190284	2
35190285	2
35190286	2
35190287	2
35190288	2
35190289	2
35190290	2
35190291	2
35190292	2
35190293	2
35190294	2
35190295	2
35190296	2
35190297	2
35190300	2
35190301	2
35190302	2
35190303	2
35190304	2
35190305	2
35190306	2
35190307	2
35190308	2
35190309	2
35190310	2
35190311	2
35190312	2
35190313	2
35190316	2
35190317	2
35190318	2
35190320	2
35190326	2
35190327	2
35190328	2
35190329	2
35190332	2
35190334	2
35190336	2
35190337	2
35190338	2
35190339	2
35190340	2
35190341	2
35190342	2
35190343	2
35190344	2
35190345	2
35190346	2
35190347	2
35190348	2
35190349	2
35190350	2
35190351	2
35190352	2
35190353	2
35190354	2
35190355	2
35190356	2
35190357	2
35190358	2
35190359	2
35190360	2
35190364	2
35190365	2
35190366	2
35190367	2
35190370	2
35190371	2
35190372	2
35190373	2
35190374	2
35190375	2
35190376	2
35190377	2
35190378	2
35190379	2
35190380	2
35190381	2
35190382	2
35190383	2
35190384	2
35190385	2
35190389	2
35190390	2
35190391	2
35190392	2
35190393	2
35190394	2
35190395	2
35190396	2
35190397	2
35190398	2
35190401	2
35190403	2
35190404	2
35190405	2
35190406	2
35190407	2
35190408	2
35190409	2
35190410	2
35190411	3
35190412	3
35190413	3
35190414	3
35190415	3
35190416	3
35190417	3
35190418	3
35190419	3
35190420	2
35190421	3
35190422	2
35190423	2
35190424	2
35190425	2
35190426	2
35190427	2
35190428	2
35190429	3
35190430	2
35190431	3
35190432	3
35190433	2
35190434	2
35190435	2
35190436	2
35190437	2
35190438	2
35190439	2
35190440	2
35190441	2
35190442	2
35190443	2
35190444	2
35190445	2
35190446	2
35190447	2
35190448	2
35190453	2
35190454	2
35190455	2
35190457	2
35190458	2
35190459	2
35190460	2
35190463	2
35190464	2
35190465	2
35190466	2
35190467	2
35190468	2
35190469	2
35190470	2
35190471	2
35190472	2
35190473	2
35190474	2
35190475	2
35190476	2
35190477	2
35190480	2
35190481	2
35190482	2
35190483	2
35190484	2
35190485	2
35190486	2
35190487	2
35190488	2
35190489	2
35190490	2
35190491	2
35190492	2
35190493	2
35190494	2
35190495	2
35190496	2
35190497	2
35190498	2
35190499	2
35190500	2
35190501	2
35190502	2
35190503	2
35190504	2
35190505	2
35190506	2
35190507	2
35190508	2
35190511	2
35190512	2
35190513	2
35190514	2
35190515	2
35190516	2
35190517	2
35190518	2
35190519	2
35190520	2
35190521	2
35190522	2
35190525	2
35190526	2
35190527	2
35190528	2
35190529	2
35190530	2
35190531	2
35190532	2
35190533	2
35190534	2
35190537	2
35190538	2
35190539	2
35190540	2
35190541	2
35190542	2
35190543	2
35190544	2
35190545	2
35190546	2
35190547	2
35190548	2
35190549	2
35190550	2
35190551	2
35190552	2
35190553	2
35190554	2
35190558	2
35190559	2
35190561	3
35190562	3
35190563	3
35190564	3
35190565	3
35190566	3
35190567	3
35190568	3
35190569	3
35190570	3
35190571	3
35190572	3
35190573	3
35190575	3
35190576	3
35190577	3
35190578	3
35190581	2
35190583	3
35190584	2
35190585	3
35190586	3
35190587	3
35190588	2
35190589	3
35190590	3
35190591	2
35190592	2
35190593	2
35190594	2
35190595	2
35190596	4
35190598	4
35190599	4
35190600	4
35190601	4
